[0]	"Russian"
[602]	"]?"
[603]	"Извините, но у вас нет права удалять участников из гильдии."
[604]	"Эскадра"
[605]	"Пиратская гильдия"
[606]	"Режим: Обычный"
[607]	"Нехватка: "
[608]	"Золото"
[609]	"Репутация"
[610]	"Участники"
[611]	"Осталось до расформирования %d дней"
[612]	"Осталось до расформирования %d часов"
[613]	"Осталось до расформирования %d минут"
[614]	"Действие не удалось: Персонаж уже удален или вышел из гильдии."
[615]	"player.clu does not have defined interface frmHaircut"
[616]	"player.clu UI <%s>unable to find document<%s>"
[617]	"msgCHaircutMgr::ShowHaircutForm cannot find lead\n"
[618]	"Невозможно сменить прическу персонажа"
[619]	"msgCHaircutMgr::ShowHaircutForm fail to create 3D character"
[620]	"msgCHaircutMgr::Refresh HairNameas null"
[621]	"msgCHaircutMgr::Refresh Цвет волос меньше чем"
[622]	"[Русский]"
[623]	"Средний"
[624]	"(Двуручный)"
[625]	"Атака (%d/%d)"
[626]	"Прочность (%d/%d)"
[627]	"Эффективность (%d%%)"
[628]	"Требования к уровню: %d"
[629]	"Защита (%+d)"
[630]	"Физическое сопротивление (%+d)"
[631]	"Шанс урона (%+d)"
[632]	"Уклонение (%+d)"
[633]	"Количество: %d"
[634]	"Ур. %d"
[635]	"Опыт: %d"
[636]	"Прочность (%d/%d)"
[637]	"Топливо (%d/%d)"
[638]	"Атака (%d/%d)"
[639]	"Защита: %d"
[640]	"Скорость судна: %d"
[641]	"Скорострельность: %d"
[642]	"Груз (%d/%d)"
[643]	"Цена (%s)"
[644]	"Энергия(%d/%d)"
[645]	"Налог: %.2f%%"
[646]	"Классовые требования:"
[647]	"\n "
[648]	"Уровень подготовки:%d"
[649]	"Требуется: %s Ур:%d"
[650]	"Честь"
[651]	"Убить"
[652]	"Смерть"
[653]	"Битва"
[654]	"Победа"
[655]	"Ур%s %s"
[656]	"Ур%s %s: %s | ГС +%d"
[657]	"Сила: %d"
[658]	"Ловкость: %d"
[659]	"Телосложение: %d"
[660]	"Точность: %d"
[661]	"Дух: %d"
[662]	"Выносливость (%d/%d)"
[663]	"Рост (%d/%d)"
[664]	"Печать ветра: %d"
[665]	"Печать Огня: %d"
[666]	"Печать Грома: %d"
[667]	"Печать холода: %d"
[668]	"Жертвенный предмет: Сердце черного дракона"
[669]	"Жертвенный предмет: Душа черного дракона"
[670]	"Жертвенный предмет: Глаз черного дракона"
[671]	"Жертвенный предмет:"
[672]	"Очков проклятия: %d"
[673]	"Слоты: %d"
[674]	"Цена продажи: %s"
[675]	"Ремонт невозможен %s!"
[676]	"Выберите фею, которую будете кормить."
[677]	"Выберите Алтарь Черного Дракона!"
[678]	"Невозможно использовать предмет"
[679]	"Требуемый класс: %s"
[680]	"Требования к персонажу: "
[681]	"Ланс"
[682]	"Карциз"
[683]	"Филлис"
[684]	"Ами"
[685]	"NPC.clu No fixed UI frmMakeEquip"
[686]	"Вы не поместили украшение. Пожалуйста, повторите попытку"
[687]	"Пожалуйста, поместите украшение"
[688]	"Пожалуйста, выберите снаряжение, соответствующее типу Украшения"
[689]	"Вы не поместили Катализатор плавки. Повторите выбор"
[690]	"Вы не поместили компоненты для плавки. Повторите попытку"
[691]	"Вы не поместили Усиливающий кристалл. Повторите выбор"
[692]	"Вы не поместили самоцвет. Пожалуйста, выберите заново"
[693]	"Камень, который вы поместили, должен быть того же вида. Повторите попытку"
[694]	"Без Катализатора, \nэффект плавки будет утерян. Продолжить?"
[695]	"Вы не поместили свиток ковки. Повторите попытку"
[696]	"Вы не поместили Свиток плавки. Повторите выбор"
[697]	"Вы не поместили Усиливающий свиток. Повторите выбор"
[698]	"Вы не добавили Адский фрукт. Повторите выбор"
[699]	"Пожалуйста, переместите свиток наверх"
[700]	"Пожалуйста, поместите Адский фрукт в верхнюю ячейку"
[701]	"Пожалуйста, поместите свиток"
[702]	"Выбранная вами фея имеет уровень ниже 20. Повторите попытку"
[703]	"Поместите фею или новую фею. "
[704]	"Цель задания:"
[705]	"Получить"
[706]	"<rUnknown ID ["
[707]	"<r"
[708]	">"
[709]	"Охота на"
[710]	"Unknown quest data type!"
[711]	"Награда"
[712]	"(Одиночный выбор)"
[713]	"Неизвестный ID предмета [%d]"
[714]	"x%d [%s]"
[715]	"%d зол."
[716]	"%d очков репутации"
[717]	"%d торговых очков"
[718]	"Unknown quest reward message type! Type [%d], Param1[%d], Param2[%d]!"
[719]	"minimap.clu UI<%s> cannot be control <%s>"
[720]	"Пожалуйста, введите точные координаты!"
[721]	"main.clu cannot find frmMission"
[722]	"Unknown Quest name ID[%d]"
[723]	"Вы хотите отменить задание\n[%s]?"
[724]	"<yВ процессе>"
[725]	"<rЗавершено>"
[726]	"<rОшибка>"
[727]	"<rНеизвестно>"
[728]	"Обычное задание"
[729]	"Историческое задание"
[730]	"Задание для гильдии"
[731]	"Неверный тип"
[732]	"MisClear: Target quest node not found , delete failed! ID[%d]"
[733]	"MisClear: Get target quest message failed!ID[%d], NodeID[%d]"
[734]	"MisLogState: Get target quest message failed!ID[%d], NodeID[%d]"
[735]	"MisLogState: Unable to find quest!ID[%d]"
[736]	"[В процессе]"
[737]	"[Завершено]"
[738]	"[Ошибка]"
[739]	"[Неизвест.]"
[740]	"msgnpc.clu does not have defined interface frmNPCMission"
[741]	"Необходимо выбрать награду за выполнение задания!"
[742]	"Хотите купить:  \n%s\nЦена: %s"
[743]	"Хотите продать:  \n%s\nЦена: %s"
[744]	"player.clu does not have defined interface frmfrmTeamPk"
[745]	"Пожалуйста, выберите документ"
[746]	"msg failed to load cursor [%d] \n"
[747]	"msg font not initialize!"
[748]	"Невозможно использовать навык!"
[749]	"[%s] не восстановлено!"
[750]	"[%s] вызывает ошибку!"
[751]	"Тип: общий навык (суша)"
[752]	"Тип: Наземное сражение"
[753]	"Тип: Морское сражение"
[754]	"Тип: пассивен"
[755]	"Тип: Навигация"
[756]	"Тип: в плавании"
[757]	"Инструкции"
[758]	"Эффект"
[759]	"Потребление"
[760]	"Навык уже активен\nЧтобы отключить, нажмите повторно"
[761]	"Возврат в точку возрождения. \nОбратитесь к Диспетчеру порта для спасения корабля!"
[762]	"Ваш персонаж погиб.\nВозродиться в городе?"
[763]	"Refresh experience screen current EXP = %d, Current Lv EXP = %d, next level EXP = %d, Percentage = %.1f\n"
[764]	"Торг"
[765]	"Для торговли обе стороны должны находиться на своих кораблях"
[766]	"Торг грузом"
[767]	"Для торговли грузами обе стороны должны находиться в своих кораблях"
[768]	"Осмотр лотка"
[769]	"Битва"
[770]	"Дуэль"
[771]	"Вы можете выбрать Помощь и наводить курсор на кнопки интерфейса для получения тултипов"
[772]	"Действие отряда было заблокировано"
[773]	"В этой версии повторное подключение невозможно!"
[774]	"Идет отсчет времени, работа невозможна"
[775]	"Обратный отсчет: %d сек"
[776]	"Сообщить о боте"
[777]	"Отменить отсчет времени"
[778]	"Неизвестный девиз - Аркол"
[779]	"%s\nЗапросил торговлю"
[780]	"%s\n\n запрашивает торговлю грузом"
[781]	"Пожалуйста, введите число золота"
[782]	"Продажа Купчей на судно вызовет \nснижение уровня корабля \nи опыта"
[783]	"Недостаточно ячеек в рюкзаке. Предметы могут упасть на землю"
[784]	"Сделка прошла успешно"
[785]	"В рюкзаке нет свободного места. Торговля отменена"
[786]	"Вы отменили торговую сделку"
[787]	"Персонаж прекратил торговлю"
[788]	"Переход в боевую зону"
[789]	"Переход в безопасную зону"
[790]	" Вода"
[791]	"msg Please use ship interface to change outlook,"
[792]	"Автоподбор предметов: Вкл"
[793]	"Автоподбор предметов: Выкл"
[794]	"Скрыть модель игрока: Выкл. "
[795]	"Скрыть модель игрока: Вкл."
[796]	"===SetMainCha(Scene change lead):\tTick:[%u]\n\n"
[797]	"В секретном коде может быть только 0 ~ 9. Неверный набор цифр, пожалуйста, введите заново"
[798]	"Некорректная длинна секртеного кода 6 ~ 12. Пожалуйста, введите заново"
[799]	"Пароли не совпадают. Введите пароль заново."
[800]	"У учетной записи нет защитного кода\n\nСоздать его?"
[801]	"Не удалось изменить защитный код!"
[802]	"Ошибка кода"
[803]	"Мечник: За несколько тысяч лет тренировок Мечники стали мастерами по владению мечом и щитом."
[804]	"Рекомендуемые характеристики: Телосложение (для защиты) и Сила (для атаки). Рекомендуемые навыки: Искусство владеть мечом – повышает мощь атаки мечами. Ускользающий удар – черпая энергию из меча, может поражать врага на расстоянии."
[806]	"Воитель: Прекрасно справляется с двумя мечами. Воители атакуют быстрее и превосходят любой другой класс в парировании ударов."
[807]	"Рекомендуемая хар-ка: Ловкость и Сила - улучшают скорость уклонения и мощь атаки. Рекомендуемый навык: Скрытность – делает персонажа невидимым. Сноровка – увеличивает скорость уклонения персонажа. Рубка двумя мечами – усиливает атаку двумя мечами."
[808]	"Чемпион: Для увеличения своей  мощи Чемпионы отказываются от щита, чтобы сражаться двуручным оружием. Это значительно повышает силу удара."
[809]	"Рекомендуемая хар-ка: Телосложение и Сила улучшают соответственно, защиту и нападение. Рекомендуемые навыки: Вой, наносящий урон по площади."
[810]	"Знахарка: Искусство Знахарки уходит корнями в Аскарон. Знахарки прекрасно обращаются со всеми видами лекарств. Они придают силы и помогают другим."
[811]	"Рекомендованная характеристика: Дух увеличивает магический урон и максимальный уровень МН. Рекомендованный навык: Исцеление - восстанавливает ЖЗ. Призрачный удар - наносит урон энергии противника, несмотря на защиту. Воскрешение - оживляет погибшего персонажа."
[812]	"Целительница: Это знахарки, которые посвятили себя исключительно лечению, они прекрасно владеют навыками исцеления и поддержки."
[813]	"Рекомендуемая хар-ка: Дух – повышает силу магии и увеличивает Max МН. Рекомендуемый навык: Ангельский щит – повышает защиту союзников. Исцеляющий источник – создает область, в которой исцеляются союзники. Магический щит – переводит получаемый урон на МН."
[814]	"Колдунья: Зная свойства трав, можно наложить заклинание на врага."
[815]	"Рекомендуемая хар-ка: Дух – повышает силу магии и увеличивает Maкс МН. Рекомендуемый навык: Росчерк тени – не дает врагу атаковать обычным способом. Печать Древних – не дает врагу использовать умения. Бездонное болото – замедляет врагов в области действия."
[816]	"Мореплаватель: Их влекут неизвестные морские пути, в поисках неизведанных земель они бросают вызов штормам и грозам, собирая их энергию с помошью кораллов."
[817]	"Рекомендованная характеристика: Дух увеличивает магический урон и максимальный уровень ЖЗ. Рекомендованный навык: Молния - поражает противника молнией. Торнадо - вихрем поднимает противника в воздух. Сеть из водорослей - морская водоросль связывает противника и наносит ему урон."
[818]	"Покорители морей исследуют новые океаны и неизвестные земли. Их страсть к путешествиям сильнее опасностей, которые лежат перед ними."
[819]	"Рекомендуемая хар-ка: Дух – повышает мощь магии и увеличивает макс МН. Рекомендуемое умение: Грозовая завеса – создает морскую грозу, которая наносит повреждения всем врагам. Попутный ветер – увеличивает скорость кораблей. Коралловый луч – наносит повреждения всем врагам на прямой линии."
[820]	"Охотник: Охотники могут выжить в самых трудных условиях. Они хорошо атакуют издалека, но очень слабы в рукопашной."
[821]	"Рекомендуемая хар-ка: Точность увеличивает урон и частоту атаки при нападении с большого расстояния. Рекомендуемые умения: Мастер стрельбы; это умение необходимо для развития всех стрелковых навыков"
[822]	"Стрелок: Хотя лук стреляет дальше мушкета, последний наносит большой урон."
[823]	"Рекомендованная характеристика: Точность увеличивает шанс нанесения урона и силу дистанционной атаки. Рекомендованный навык: Калечащий выстрел - снижает скорость передвижения и уклона противника. Ослабление - не позволяет противнику применить заклинание. Выстрел в голову - снимает защиту цели и наносит максимальный ущерб."
[824]	"Закрыть рюкзак защитным кодом?"
[825]	"У вас нет Магического замка!"
[826]	"Выбери Адский фрукт"
[827]	"Ты не указал фею или уровень твоей феи ниже 20. Сделай повторный выбор"
[828]	"Пожалуйста, введи основное снаряжение"
[829]	"Снаряжение для очистки не соответствует основному снаряжению. Сделай другой выбор"
[830]	"Level of equipment to purify cannot be lower than main quipment 5 ур., пожалуйста, выбери повторно"
[831]	"Неправильное снаряжение. Выбери заново"
[832]	"Подтверждаешь выкуп?"
[833]	"Выкуп успешно выполнен!"
[834]	"Условия выкупа не выполнены. Выкуп не состоялся!"
[835]	"Слот 1: "
[836]	"Нет\n"
[837]	"Ур"
[838]	"Слот 2: "
[839]	"Слот 3: "
[840]	"Бонус к Ковке:"
[841]	"Дополнительный бонус: --"
[842]	"Эффект Самоцвета: "
[843]	"%d %s"
[844]	"Сделай ставку, пожалуйста!"
[845]	"Товары"
[846]	"Цена"
[847]	"Замечание"
[848]	"очки Хаоса"
[849]	"Вставь \"Тайны Хаоса"
[850]	"Ментор"
[851]	"Ученик"
[852]	"Эта экипировка не имеет возможности улучшения уровня"
[853]	"Выбери Крылья"
[854]	"Удалить"
[855]	"Ментор"
[856]	"Убрать %s как ученика?\nШтраф к репутации: %d\nПодтвердить?"
[857]	"Подтверди покупку: \n"
[858]	"Вы хотите посетить магазин\nпредметов?"
[859]	"Ученик"
[860]	"Player %s\n желает стать твоим учеником"
[861]	"Player %s\n хочу взять тебя в ученики"
[862]	"Опыт (%d/%d)"
[863]	"Player %s\nНадеюсь вступить в ваш отряд"
[864]	"Персонажам ниже 6 ур. запрещено подавать запросы на торговлю"
[865]	"Персонажам ниже 7 ур. не разрешается добавлять друзей в список"
[866]	"Персонажам ниже 8 уровня не разрешается рассылать приглашения"
[867]	"Выбранный персонаж ниже 8 ур. и не имеет права принимать приглашение в отряд"
[868]	"Персонажам ниже 9 ур. не разрешается использовать канал Личных сообщений"
[869]	"%i ур."
[870]	"Продукт: %s x %d"
[871]	"Качество: %i"
[872]	"Материал 1: %s x %i"
[873]	"Материал 2: %s x %i"
[874]	"Материал 3: %s x %i"
[875]	"Количество использований чертежа: %i"
[876]	"Опыт инструмента: +%d"
[877]	"Нужно монет феи: %i"
[878]	"Прочность: %i"
[879]	"Навык нельзя использовать в море!"
[880]	"Текущий навык нельзя использовать на суше!"
[881]	"Не хватает монет феи. Сделай другой выбор"
[882]	"Этот предмет не подходит вашему персонажу"
[883]	"Перезарядка приглашения в отряд [%d] секунд. Осталось %d сек"
[884]	"Ваш наставник: %s Онлайн"
[885]	"Ваш наставник: %s Не в сети"
[886]	"Ваш ученик: %s Онлайн"
[887]	"Ваш ученик: %s Не в сети"
[888]	"Опасно делать такое в море. Сначала ступи на сушу"
[889]	"Убрать ментора %s\nШтраф: %d зол."
[890]	"В рюкзаке нет %d ячеек. Пожалуйста освободите место"
[891]	"Вы не указали инструмент для общего навыка. Повторите выбор"
[892]	"Выбери инструмент основного навыка"
[893]	"Нужно выбрать инструмент для ремонта. Повтори попытку"
[894]	"Предмет закрыт защитным кодом. Попробуйте еще раз"
[895]	"Онлайн-магазин переполнен, попробуй в другой раз!"
[896]	"Введи чертеж, пожалуйста!"
[897]	"Опыт использования инструмента: %i"
[898]	"Предмет в режиме перезарядки, оставшееся время %d сек."
[899]	"Вставлена не та фея. Пожалуйста, вставьте другую фею"
[900]	"Время использования истекает: "
[901]	"Экипировка заблокирована до: "
[902]	"Платиновое членство"
[903]	"Обычный участник"
[904]	"Укажите кол-во кристаллов к покупке"
[905]	"Нужно подтверждение, чтобы выкупить кристалл: %d"
[906]	"Индивидуальное управление"
[907]	"Покупка предмета не удалась!\nПровертье, достаточно ли у вас Пиратских кристаллов!"
[908]	"Обмен золота не удался!"
[909]	"Любимое число: %d"
[910]	"%d"
[911]	"%d ч."
[912]	"Безлимит"
[913]	"Платиновая зона только для обладателей платинового членства!"
[914]	"Нельзя отправлять по почте сообщения длиной менее 16 символов!"
[915]	"Подтвердите желание стать платиновым участником."
[916]	"Месяц"
[917]	" День"
[918]	"Часов"
[919]	"Минут"
[920]	"Секунд"
[921]	"Центр помощи"
[922]	"Матрос"
[923]	"Старшина"
[924]	"Мичман"
[925]	"Лейтенант"
[926]	"Капитан 3 ранга"
[927]	"Капитан 2 ранга"
[928]	"Капитан 1 ранга"
[929]	"Контр-адмирал"
[930]	"Адмирал флота"
[931]	"Главнокомандующий"
[932]	"Лагерь"
[933]	"Счетчик смерти"
[934]	"Священная война"
[935]	"Маленькая священная война"
[936]	"Введи сумму ставки"
[937]	"Не может быть ниже определенного значения %d"
[938]	"https://ascaron.online/?act=payment&account=%s&sum=%d"
[939]	"Хотите активировать колокол \nРоджера? Стоимость повышения \nрейтов 750 кристаллов они будут \nсписаны с вашего аккаунта"
[940]	"Подтверждение суммы ставки %d"
[941]	"Сначала экипируйся студенческой картой и книгами"
[942]	"Ты уверены, что хочешь прочесть книгу?"
[943]	"Нажми "confirm", чтобы прервать чтение"
[944]	"Детский сад"
[945]	"Начальная школа"
[946]	"Средние школьные классы"
[947]	"Перенесите %s в пустой слот"
[948]	"Университет"
[949]	"Уровень знаний:%s"
[950]	"Экзаменационные очки(%d/%d)"
[951]	"Опыт (%d/%d)"
[952]	"пусто"
[953]	"немного"
[954]	"Средний"
[955]	"много"
[956]	"заполнено"
[957]	"Набранные очки:%s"
[958]	"winterland"
[959]	"Вы уверены, что хотите выбросить предмет\n[%s]?"
[960]	"Вы не можете вставить костюм в слот для экипировки!"
[961]	"Пожалуйста введите кол-во кристаллов"
[962]	"Нельзя торговать"
[963]	"Нельзя выбросить"
[964]	"Нельзя удалить"
[965]	"Заблокированный"
[966]	"Бесконечное количество энергии"
[967]	"Эффективность (%d%%)"
[968]	"[Костюм] %s"
[969]	"Свечение: недоступно"
[970]	"Визуальный эффект: ID %d"
[971]	"Шанс выпадения: +%d%%"
[972]	"Модель питомца: %s"
[973]	"Скорость передвижения (PvE): +%d%%"
[974]	"Скорость передвижения (PvP): +%d"
[975]	"[Свечение] %s"
[976]	"%s: Использовано %d из %d"
[977]	"Секунды (%d/%d)"
[978]	"Принудительное отображение имен: Вкл."
[979]	"Принудительное отображение имен: Выкл."
[980]	"Скрытие прилавка игрока: Выкл."
[981]	"Скрытие прилавка игрока: Вкл."
[982]	"Уровень перерождения %d"
[983]	"Предмет нельзя использовать в море!"
[984]	"Предмет: [%s] в режиме перезарядки, оставшееся время %d сек."
[985]	"Предмет нельзя использовать на суше!"
[986]	"Вы не состоите в гильдии"
[987]	"Игровой мастер %s в сети"
[988]	"Игровой мастер %s не в сети"
[989]	"Использовать золото \nв качестве валюты?"
[990]	"Пожалуйста, снимите маунта, если вы хотите использовать навыки"
[991]	"Навык [%s] в режиме перезарядки, оставшееся время %d сек."
[992]	"Можно вковать в "
[993]	"Этот камень невозможно куда-либо вковать."
[994]	"Бонус самоцвета (%s)"
[995]	"Стоимость в ларьке: %s"
[996]	"Вы находитесь в банке... Пожалуйста, завершите операцию перед открытием."
[997]	"Заблокировать"
[998]	"Разблокировать"
[999]	"Точка: [%d, %d]"
[1000]	"Новичок"
[1001]	"Мечник"
[1002]	"Охотник"
[1003]	"Sailor"
[1004]	"Исследователь"
[1005]	"Знахарка"
[1006]	"Engineer"
[1007]	"Merchant"
[1008]	"Чемпион"
[1009]	"Воитель"
[1010]	"White Knight"
[1011]	"Animal Tamer"
[1012]	"Стрелок"
[1013]	"Целительница"
[1014]	"Колдунья"
[1015]	"Captain"
[1016]	"Покоритель морей"
[1017]	"Upstart"
[1018]	"Engineer"
[1019]	"Сила"
[1020]	"Ловкость"
[1021]	"Точность"
[1022]	"Телосложение"
[1023]	"Дух"
[1024]	"Удача"
[1025]	"Скорость атаки"
[1026]	"Дальнось атаки"
[1027]	"Мин. атака"
[1028]	"Макс. атака"
[1029]	"Защита"
[1030]	"Макс. ЖЗ"
[1031]	"Макс. МН"
[1032]	"Шанс уклонения"
[1033]	"Шанс урона"
[1034]	"Шанс крит. урона"
[1035]	"Шанс выпадения"
[1036]	"Восстановление ЖЗ"
[1037]	"Восстановление МН"
[1038]	"Скорость передвижения"
[1039]	"Скорость добычи материалов"
[1040]	"Физическое сопротивление"
[1041]	"Макс. прочность"
[1042]	"Макс. энергия"
[1043]	"Рейтинг экипировки: +%d"
[1044]	"Общий Рейтинг экипировки: +%d"
[1045]	"Стоимость одного пакета: %s"
[1046]	"Стоимость: %s"
[1047]	"Купить %s?"
[1048]	"Продать %s?"
[1049]	"Войти на учетную запись %s?"
[1050]	"Ур. %d %s"
[1051]	"Здоровье: %d/%d"
[1052]	"Мана: %d/%d"
[1053]	"Полноэкранный режим"
[1054]	"Включить полноэкранный режим?"
[1055]	"Разрешение"
[1056]	"Установить размер окна"
[1057]	"Тип камеры"
[1058]	"Версия 1 или 2"
[1059]	"Высота камеры"
[1060]	"Увеличение дальности камеры %d%%"
[1061]	"Панель эффектов"
[1062]	"Отобразить наложенные эффекты"
[1063]	"Музыка"
[1064]	"Громкость: %d%%"
[1065]	"Звуковые эфф."
[1066]	"Громкость: %d%%"
[1067]	"Передвижение персонажа"
[1068]	"Синхронизировать с сервером"
[1069]	"Скорость аним."
[1070]	"Ускорение на %d%%"
[1071]	"Отключение авто-атаки"
[1072]	"Для магических классов"
[1073]	"Всегда отобр. имена игроков"
[1074]	"Всегда отобр. имена монстров"
[1075]	"Всегда отобр. имена предметов"
[1076]	"Отображение свечения оружий"
[1077]	"Отображать костюмы игроков"
[1078]	"Отображать ездовых животных"
[1079]	"Отображать фей у игроков"
[1080]	"Отображать крылья у игроков"
[1081]	"Оффлайн режим доступен только в безопасной зоне"
[1082]	"Всегда отобр. желтый лут"
[1083]	"Освещение свой/чужой в PK"
[1084]	"ПОДТВЕРДИТЕ, ЧТО ВЫ НЕ РОБОТ"
[1085]	"НАВЕДИТЕ КУРСОР НА ИКОНКУ ПРЕДМЕТА, ЧТОБЫ УЗНАТЬ ЕГО НАЗВАНИЕ"
[1086]	"Нельзя ставить ларек рядом с NPC!"
[1087]	"НАЖМИТЕ НА КЛАВИШУ ЧТОБЫ НАЗНАЧИТЬ ЕЁ"
[1088]	"Нажмите ENTER для подтверждения"
[1089]	"Эта клавиша уже привязан к другому слоту!"
[1090]	"Клавиша успешно привязана к слоту!"
[1091]	"Требуемый тип предмета: %s"
[1092]	"%s, $%s"
[1093]	"Используется с предметами типа: %s"
[1094]	"Пожалуйста введите PIN-Код"
[1095]	"Ур.%d"
[1096]	"Предмет нельзя добыть с монстров"
[1097]	"Доступен до %s"
[1098]	"Кол-во в пакете: %d"
[1099]	"Доступ."
[1100]	"В этой категории предметов не найдено"
[1101]	"Предмет не присутствует у НПС"
[1102]	"Уровень"
[1103]	"Опыт"
[1104]	"Здоровье"
[1105]	"Мана"
[1106]	"Атака"
[1107]	"%d шт."
[1108]	"%d сек."
[1109]	"Монстр недоступен на локациях"
[1110]	"ТОЛЬКО ВЫБРАННЫЕ ПРЕДМЕТЫ"
[1111]	"Позволяет настроить индивидуальный\nсписок предметов для автоподбора.\n\nЧтобы добавить предмет:\n1. Выберите монстра в базе данных\n2. Найдите нужный предмет в дроп-листе\n3. ПКМ по нужному предмету\n4. Выберите пункт <Включить подбор>"
[1112]	"БАЗОВЫЙ ФИЛЬТР"
[1113]	"Рекомендуемый режим для большинства\nигроков.\n\nПитомец автоматически подбирает\nважные и расходуемые предметы,\nпри этом игнорирует обычные предметы,\nкоторые почти не используются.\nЭто позволяет не засорять инвентарь."
[1114]	"ВСЕ ПРЕДМЕТЫ С МОНСТРОВ"
[1115]	"При включении этого режима питомец будет подбирать абсолютно все предметы,\nвыпадающие со всех монстров, без каких-либо ограничений."
[1116]	"РАСШИРЕННЫЙ ФИЛЬТР"
[1117]	"Работает так же, как и <Базовый фильтр>, но дополнительно позволяет указать\nсобственный список предметов для подбора в базе данных.\n\nВсе предметы, которые вы добавите через Базу данных, будут подбираться питомцем\nвместе со стандартным списком важных предметов."
[1118]	"НАСТРОЙКИ ПИТОМЦА-ПОМОЩНИКА"
[1119]	"Только выбранные"
[1120]	"Базовый фильтр"
[1121]	"Подбирать всё"
[1122]	"Расширенный фильтр"
[1123]	"Все типы"
[1124]	"Все карты"
[1125]	"Все профессии"
[1126]	"Поиск..."
[1127]	"ПРЕДМЕТЫ"
[1128]	"МОНСТРЫ"
[1129]	"ИСТОРИЯ"
[1130]	"ДОБАВИТЬ ЛОТ"
[1131]	"ВЫВОД СРЕДСТВ"
[1132]	"Переместите предмет\nв соседнюю ячейку"
[1133]	"Выберите предмет для продажи"
[1134]	"СТОИМОСТЬ (ЗА ВЕСЬ ЛОТ)"
[1135]	"Публикуя лот, вы автоматически принимаете правила Игровой биржи:"
[1136]	"1. Вывод денежных средств доступен только при балансе от 100 USD.\n\n2. Комиссия сервиса, налоги, прием и вывод средств составляет 21% от суммы продажи лота.\nСтоимость публикации одного лота составляет 5 кристаллов и размещается на 72 часа. Снятие лота\nдо срока истечения также облагается комиссией в 5 кристаллов.\n\n3. Администрация не несет ответственности за ошибки, допущенные при указании стоимости\nлота. Перед публикацией внимательно проверьте цену и предмет.\n\n4. Стоимость указывается за весь лот, включая его колличество, а не за одну единицу предмета.\n\n5. Минимальная стоимость одного лота - 1.00 USD, максимальная - 500.00 USD.\n\n6. Продажа игровых ценностей в не Игровой биржи строго запрещена. За любые сделки,\nсовершенные в обход биржи, применяется полная и бессрочная блокировка аккаунтов продавца\nи покупателя.\n\n7. После покупки лота другим игроком отмена сделки, возврат средств или предмета невозможны.\n\n8. Комиссия за публикацию лота не возвращается, даже если лот снят с продажи/не был продан."
[1137]	"1. ВЫБЕРИТЕ МЕТОД ВЫВОДА"
[1138]	"Банковский перевод РФ"
[1139]	"СБП (РФ) | Курс 1 USD = %.2f RUB"
[1140]	"Криптовалюта"
[1141]	"TRC-20 (USDT)"
[1142]	"2. УКАЖИТЕ РЕКВИЗИТЫ"
[1143]	"3. СУММА ВЫВОДА (USD)"
[1144]	"Минимальная сумма вывода - 100 USD"
[1145]	"Комиссия за вывод не взимается"
[1146]	"Укажите номер телефона и банк получателя"
[1147]	"Укажите адрес кошелька (USDT TRC-20)"
[1148]	"4. ОТПРАВЛЯЯ ЗАЯВКУ НА ВЫВОД, ВЫ СОГЛАШАЕТЕСЬ:"
[1149]	"1. Деньги будут отправлены выбранным методом на указанные реквизиты.\n2. Администрация не несет ответственности за ошибок в реквизитах получателя.\n3. Средства зачисляются в течении 48 часов.\n4. Администрация вправе запросить дополнительную информацию для верификации."
[1150]	"В дропе у"
[1151]	"Содержит"
[1152]	"В предметах"
[1153]	"В торговле/НПС"
[1154]	"Предмет ничего не содержит"
[1155]	"Предмет нельзя получить из других предметов"
[1156]	"Движение к цели \n(CTRL + ЛКМ)"
[1157]	"Перемещение карты \n(Зажмите ЛКМ)"
[1158]	"Масштаб \n(Колесо мыши)"
